ffcollection,Brand,Short_descr,Final_Price,avSizes,img,Discount,Total_Price
,Versace,Virtus crossbody bag,"$1,125",One Size,https://cdn-images.farfetch-contents.com/16/69/38/04/16693804_32761617_480.jpg,-0%,"$1,125"
,Bottega Veneta,interwoven-design crossbody bag,"$2,350",One Size,https://cdn-images.farfetch-contents.com/17/21/63/73/17216373_36704392_480.jpg,-0%,"$2,350"
,Bottega Veneta,shearling Jodie mini bag,"$2,500",One Size,https://cdn-images.farfetch-contents.com/16/98/66/36/16986636_36655791_480.jpg,-0%,"$2,500"
,Valentino Garavani,large Rockstud tote bag,"$1,380",One Size,https://cdn-images.farfetch-contents.com/16/59/43/82/16594382_32443603_480.jpg,-0%,"$1,380"
,Valentino Garavani,Rockstud crossbody bag,"$1,590",One Size,https://cdn-images.farfetch-contents.com/15/51/33/46/15513346_27990881_480.jpg,-0%,"$1,590"
,MM6 Maison Margiela,New Japanese crossbody bag,$340,One Size,https://cdn-images.farfetch-contents.com/16/90/91/22/16909122_33725799_480.jpg,-0%,$340
New Season,Marc Jacobs,The Snapshot leather crossbody bag,$295,One Size,https://cdn-images.farfetch-contents.com/17/60/72/24/17607224_37040622_480.jpg,-0%,$295
,Paco Rabanne,1969 Nano metal-disc shoulder bag,$820,One Size,https://cdn-images.farfetch-contents.com/15/72/25/32/15722532_30407291_480.jpg,-0%,$820
,Bottega Veneta,Mount suede shoulder bag,"$3,500",One Size,https://cdn-images.farfetch-contents.com/16/80/05/43/16800543_35653427_480.jpg,-0%,"$3,500"
New Season,JW Anderson,Anchor Logo strawberry tote bag,$925,One Size,https://cdn-images.farfetch-contents.com/17/40/90/71/17409071_36302889_480.jpg,-0%,$925
New Season,Chloé,mini Tess day bag,"$1,690",One Size,https://cdn-images.farfetch-contents.com/17/64/64/26/17646426_37605112_480.jpg,-0%,"$1,690"
,See by Chloé,Hana tonal panel crossbody bag,$291,One Size,https://cdn-images.farfetch-contents.com/15/27/81/19/15278119_28029664_480.jpg,-0%,$291
New Season,Chloé,Juana chain-strap shoulder bag,"$1,490",One Size,https://cdn-images.farfetch-contents.com/17/64/74/32/17647432_38091053_480.jpg,-0%,"$1,490"
,Chloé,mini Marcie crossbody bag,$990,One Size,https://cdn-images.farfetch-contents.com/15/18/54/04/15185404_28039874_480.jpg,-0%,$990
New Season,Alexander McQueen,graffiti logo-print shoulder bag,$790,One Size,https://cdn-images.farfetch-contents.com/17/46/40/41/17464041_37142516_480.jpg,-0%,$790
