,ffcollection,Brand,Short_descr,Price,avSizes,img
93,New Season,Chloé,Edith 120mm knee-high boots,"$1,595",See all sizes,https://cdn-images.farfetch-contents.com/17/36/32/91/17363291_37704437_480.jpg
94,Positively Conscious,VEJA,Venturi runner sneakers,$155,See all sizes,https://cdn-images.farfetch-contents.com/15/38/30/77/15383077_31315740_480.jpg
95,,Alexander Wang,Nova 120mm stud-detail sandals,$595,See all sizes,https://cdn-images.farfetch-contents.com/15/41/32/78/15413278_28500869_480.jpg
96,Positively Conscious,VEJA,Recife low-top sneakers,$180,See all sizes,https://cdn-images.farfetch-contents.com/16/67/97/88/16679788_34986007_480.jpg
97,,Jimmy Choo,Aveline bow detail sandals,$975,See all sizes,https://cdn-images.farfetch-contents.com/13/94/32/05/13943205_23366209_480.jpg
98,,Dolce & Gabbana,logo-embellished low-top sneakers,$595,See all sizes,https://cdn-images.farfetch-contents.com/15/39/23/50/15392350_30163929_480.jpg
99,New Season,Moon Boot,Icon lace-up boots,$165,See all sizes,https://cdn-images.farfetch-contents.com/17/75/73/96/17757396_37996445_480.jpg
100,New Season,Rick Owens DRKSHDW,DRKSHDW LT CNVS LCUP SNKR,$625,See all sizes,https://cdn-images.farfetch-contents.com/17/37/65/00/17376500_38071703_480.jpg
101,,Maison Margiela,Replica low-top sneakers ,$495,See all sizes,https://cdn-images.farfetch-contents.com/14/59/29/74/14592974_36038888_480.jpg
102,,Axel Arigato,Clean 90 low-top sneakers,$190,See all sizes,https://cdn-images.farfetch-contents.com/14/16/01/40/14160140_35977260_480.jpg
103,New Season,Off-White,Vulcanized low-top sneakers,$330,See all sizes,https://cdn-images.farfetch-contents.com/17/59/14/72/17591472_37095826_480.jpg
104,,VEJA,Esplar low top leather sneakers,$120,See all sizes,https://cdn-images.farfetch-contents.com/15/38/48/07/15384807_35899941_480.jpg
105,,Valentino Garavani,VLogo-plaque ankle boots,"$1,250",See all sizes,https://cdn-images.farfetch-contents.com/16/74/46/10/16744610_34326317_480.jpg
106,,Valentino Garavani,Rockstud 65mm cage pumps,$990,See all sizes,https://cdn-images.farfetch-contents.com/15/33/74/58/15337458_30574995_480.jpg
107,,Isabel Marant,Beth touch-strap sneakers,$385,See all sizes,https://cdn-images.farfetch-contents.com/15/45/20/73/15452073_28995045_480.jpg
108,,Axel Arigato,Marathon Runner low-top sneakers,$295,See all sizes,https://cdn-images.farfetch-contents.com/16/57/36/31/16573631_34125082_480.jpg
109,New Season,Moon Boot,ProTECHt Monaco Hi-Top boots,$265,See all sizes,https://cdn-images.farfetch-contents.com/17/75/58/54/17755854_38063155_480.jpg
110,New Season,Moon Boot,ProTECHt mid-top rubber boots,$225,See all sizes,https://cdn-images.farfetch-contents.com/17/75/73/75/17757375_38042994_480.jpg
111,New Season,Golden Goose,star-patch lace-up sneakers,$655,See all sizes,https://cdn-images.farfetch-contents.com/17/57/67/11/17576711_37306144_480.jpg
112,Positively Conscious,Stella McCartney,Gaia platform espadrilles,$460,See all sizes,https://cdn-images.farfetch-contents.com/16/03/69/41/16036941_30365678_480.jpg
113,New Season,Golden Goose,Slide distressed studded sneakers,$655,See all sizes,https://cdn-images.farfetch-contents.com/17/78/23/51/17782351_38088736_480.jpg
114,,Bottega Veneta,Stretch raffia sandals,"$1,050",See all sizes,https://cdn-images.farfetch-contents.com/16/01/74/32/16017432_32127750_480.jpg
115,New Season,Totême,velvet square-toe flat mules,$530,See all sizes,https://cdn-images.farfetch-contents.com/16/80/21/67/16802167_35589465_480.jpg
116,,Alexander Wang,logo-print flat slides,$250,See all sizes,https://cdn-images.farfetch-contents.com/16/12/90/14/16129014_32461646_480.jpg
117,,GIABORGHINI,Perni 07 leather boots ,$495,See all sizes,https://cdn-images.farfetch-contents.com/17/11/16/55/17111655_34409873_480.jpg
118,,Jimmy Choo,Bing flat mules,$850,See all sizes,https://cdn-images.farfetch-contents.com/13/42/33/81/13423381_21440999_480.jpg
119,,Tory Burch,Mini Miller jelly sandals,$125,See all sizes,https://cdn-images.farfetch-contents.com/15/95/96/61/15959661_30066656_480.jpg
120,,Dolce & Gabbana,105 mm Keira baroque logo sandals,"$1,195",See all sizes,https://cdn-images.farfetch-contents.com/14/57/49/95/14574995_23464479_480.jpg
121,,Salvatore Ferragamo,sock-style slip-on sneakers,$545,See all sizes,https://cdn-images.farfetch-contents.com/16/10/09/35/16100935_31181128_480.jpg
122,,Manolo Blahnik,Hangisi 90mm appliqué satin pumps,$995,See all sizes,https://cdn-images.farfetch-contents.com/13/28/06/34/13280634_21453364_480.jpg
123,,Valentino Garavani,VLogo slide sandals,$690,See all sizes,https://cdn-images.farfetch-contents.com/13/73/31/96/13733196_21621832_480.jpg
124,,Jimmy Choo,Anise 95mm square sandals,$795,See all sizes,https://cdn-images.farfetch-contents.com/17/50/02/49/17500249_36663261_480.jpg
125,,Givenchy,raised logo slides,$295,See all sizes,https://cdn-images.farfetch-contents.com/14/54/01/08/14540108_23470277_480.jpg
126,New Season,Off-White,Out of Office 'OOO' sneakers,$570,See all sizes,https://cdn-images.farfetch-contents.com/17/59/22/07/17592207_36986462_480.jpg
127,New Season,Versace,Trigreca low-top sneakers,$975,See all sizes,https://cdn-images.farfetch-contents.com/17/32/18/50/17321850_37256258_480.jpg
128,,Valentino Garavani,Rockstud-embellished pumps,"$1,100",See all sizes,https://cdn-images.farfetch-contents.com/15/60/20/75/15602075_28183684_480.jpg
129,New Season,Emilio Pucci,Bandierine-print flat mules,$445,See all sizes,https://cdn-images.farfetch-contents.com/17/35/83/65/17358365_37938472_480.jpg
130,,Bottega Veneta,Stretch mesh pumps,$990,See all sizes,https://cdn-images.farfetch-contents.com/16/33/64/70/16336470_31441835_480.jpg
131,New Season,VEJA,Recife touch-strap sneakers,$145,See all sizes,https://cdn-images.farfetch-contents.com/17/02/01/12/17020112_38020688_480.jpg
132,Positively Conscious,VEJA,Esplar low-top leather sneakers,$135,See all sizes,https://cdn-images.farfetch-contents.com/15/62/53/61/15625361_31835910_480.jpg
133,New Season,Paris Texas,crocodile-embossed 105mm boots,$765,See all sizes,https://cdn-images.farfetch-contents.com/17/10/12/49/17101249_34911142_480.jpg
134,,Bottega Veneta,Stretch 90mm mesh-panel sandals,$990,See all sizes,https://cdn-images.farfetch-contents.com/16/50/14/49/16501449_32408348_480.jpg
135,New Season,NAKED WOLFE,Saturn 160mm platform lace-up boots,$280,See all sizes,https://cdn-images.farfetch-contents.com/17/75/73/72/17757372_37382964_480.jpg
136,,Bottega Veneta,Flash platform clogs,$510,See all sizes,https://cdn-images.farfetch-contents.com/16/77/95/43/16779543_36225738_480.jpg
137,New Season,Manolo Blahnik,Maysale 50mm suede mules,$745,See all sizes,https://cdn-images.farfetch-contents.com/17/05/93/83/17059383_37939725_480.jpg
138,,Jimmy Choo,Azia 95mm satin sandals,$850,See all sizes,https://cdn-images.farfetch-contents.com/17/22/22/10/17222210_37519834_480.jpg
139,New Season,Moon Boot,Icon Pillow Low boots,$240,See all sizes,https://cdn-images.farfetch-contents.com/17/75/73/81/17757381_38079053_480.jpg
140,New Season,Manolo Blahnik,Picoux 70mm leather mules,$795,See all sizes,https://cdn-images.farfetch-contents.com/17/05/86/63/17058663_38418744_480.jpg
141,,Jimmy Choo,Bing 100 stiletto mules,"$1,095",See all sizes,https://cdn-images.farfetch-contents.com/17/50/10/05/17501005_37400456_480.jpg
142,New Season,Paris Texas,crocodile-effect knee-high boots,$725,See all sizes,https://cdn-images.farfetch-contents.com/17/10/12/51/17101251_37833650_480.jpg
