ffcollection,Brand,Short_descr,Final_Price,avSizes,img,Discount,Total_Price
,Patek Philippe,pre-owned Aquanaut 35mm,"$97,269",One Size,https://cdn-images.farfetch-contents.com/17/72/72/25/17727225_37287427_480.jpg,-0%,"$97,269"
,Hermès,1990 pre-owned Kelly 32 tote bag,"$13,043",One Size,https://cdn-images.farfetch-contents.com/16/07/85/28/16078528_30717846_480.jpg,-0%,"$13,043"
,Christian Dior,1990s pre-owned Trotter Saddle pouch,"$4,421",One Size,https://cdn-images.farfetch-contents.com/17/07/06/63/17070663_34563500_480.jpg,-0%,"$4,421"
,Chanel Pre-Owned,2014 Chanel Boy shoulder bag,"$15,299",One Size,https://cdn-images.farfetch-contents.com/17/36/79/30/17367930_35893843_480.jpg,-0%,"$15,299"
,Chanel Pre-Owned,1992 CC quilted clutch bag,"$5,643",See all sizes,https://cdn-images.farfetch-contents.com/16/82/79/27/16827927_33492859_480.jpg,-0%,"$5,643"
,Chanel Pre-Owned,1998 small Coco top-handle bag,"$8,539",One Size,https://cdn-images.farfetch-contents.com/16/95/11/45/16951145_33926362_480.jpg,-0%,"$8,539"
,Chanel Pre-Owned,1997 belted trench coat,"$2,497",XS,https://cdn-images.farfetch-contents.com/14/78/83/98/14788398_24254219_480.jpg,-0%,"$2,497"
,Louis Vuitton,2006 pre-owned monogram Lockit Horizontal tote bag,"$2,203",One Size,https://cdn-images.farfetch-contents.com/16/45/73/23/16457323_32275697_480.jpg,-0%,"$2,203"
,Christian Dior,2002 pre-owned Saddle belt bag,"$2,226",One Size,https://cdn-images.farfetch-contents.com/17/06/36/69/17063669_34384646_480.jpg,-0%,"$2,226"
,Christian Dior,1980-1990s pre-owned Honeycomb shoulder bag,"$1,497",One Size,https://cdn-images.farfetch-contents.com/17/63/28/71/17632871_37103915_480.jpg,-0%,"$1,497"
,Christian Dior,2004 pre-owned mini Trotter Boston bag,"$2,476",One Size,https://cdn-images.farfetch-contents.com/17/51/34/40/17513440_36914027_480.jpg,-0%,"$2,476"
,Christian Dior,2000s pre-owned rhinestone-embellished chain-link belt,"$1,626",One Size,https://cdn-images.farfetch-contents.com/17/16/56/44/17165644_34964783_480.jpg,-0%,"$1,626"
,Christian Dior,1980-1990s pre-owned CD logo-debossed crossbody bag,"$1,362",One Size,https://cdn-images.farfetch-contents.com/17/63/28/97/17632897_37103924_480.jpg,-0%,"$1,362"
,Christian Dior,pre-owned Trotter saddle bag,"$2,291",One Size,https://cdn-images.farfetch-contents.com/16/83/32/23/16833223_33727956_480.jpg,-0%,"$2,291"
,Christian Dior,2004 pre-owned Trotter Rasta bowling bag,"$1,930",One Size,https://cdn-images.farfetch-contents.com/15/40/24/44/15402444_27207801_480.jpg,-0%,"$1,930"
,Chanel Pre-Owned,2010 CC charm chain bracelet,"$1,545",One Size,https://cdn-images.farfetch-contents.com/17/44/29/75/17442975_36284175_480.jpg,-0%,"$1,545"
,Chanel Pre-Owned,1985-1993 medium diamond-quilted shoulder bag,"$5,413",One Size,https://cdn-images.farfetch-contents.com/17/43/94/78/17439478_36293390_480.jpg,-0%,"$5,413"
,Chanel Pre-Owned,2001 CC-buttons cropped shirt,"$6,008",S,https://cdn-images.farfetch-contents.com/16/89/18/01/16891801_33889430_480.jpg,-0%,"$6,008"
,Chanel Pre-Owned,1995 Classic Flap shoulder bag,"$7,310",One Size,https://cdn-images.farfetch-contents.com/17/34/06/00/17340600_35948195_480.jpg,-0%,"$7,310"
,Chanel Pre-Owned,1994 CC dangling clip-on earrings,"$4,017",One Size,https://cdn-images.farfetch-contents.com/16/76/60/36/16766036_33219614_480.jpg,-0%,"$4,017"
,Chanel Pre-Owned,1990s medium Double Flap shoulder bag,"$6,772",One Size,https://cdn-images.farfetch-contents.com/16/71/04/85/16710485_33076357_480.jpg,-0%,"$6,772"
,Chanel Pre-Owned,2000s Choco Bar open-front coat,"$1,273",XS,https://cdn-images.farfetch-contents.com/17/45/25/97/17452597_36418235_480.jpg,-0%,"$1,273"
,Chanel Pre-Owned,CC logo T-shirt,"$1,709",M,https://cdn-images.farfetch-contents.com/17/00/56/01/17005601_34366917_480.jpg,-0%,"$1,709"
,Chanel Pre-Owned,Boy shoulder bag,"$8,567",One Size,https://cdn-images.farfetch-contents.com/17/40/79/55/17407955_36746324_480.jpg,-0%,"$8,567"
,Chanel Pre-Owned,1990 diamond quilted shoulder bag,"$7,452",One Size,https://cdn-images.farfetch-contents.com/17/03/54/24/17035424_34316620_480.jpg,-0%,"$7,452"
,Chanel Pre-Owned,1990s small Classic Flap shoulder bag,"$5,413",One Size,https://cdn-images.farfetch-contents.com/16/68/54/55/16685455_33043025_480.jpg,-0%,"$5,413"
,Chanel Pre-Owned,2004 CC logo polo shirt,"$2,937",S,https://cdn-images.farfetch-contents.com/16/13/41/75/16134175_30540027_480.jpg,-0%,"$2,937"
,Chanel Pre-Owned,1995 Jumbo XL tortoiseshell shoulder bag,"$13,318",One Size,https://cdn-images.farfetch-contents.com/15/73/79/89/15737989_28849587_480.jpg,-0%,"$13,318"
