ffcollection,Brand,Short_descr,Final_Price,avSizes,img,Discount,Total_Price
,Manolo Blahnik,crystal-embellished Hangisi 35mm belt,$765,"XS, S, M, L",https://cdn-images.farfetch-contents.com/15/72/18/56/15721856_36377277_480.jpg,-0%,$765
,Bottega Veneta Eyewear,oval sunglasses,$340,S,https://cdn-images.farfetch-contents.com/15/42/60/90/15426090_28600195_480.jpg,-0%,$340
,Ruslan Baginskiy,pearl strap fedora hat,$410,"S, M, L",https://cdn-images.farfetch-contents.com/16/00/74/04/16007404_36150275_480.jpg,-0%,$410
,Valentino Garavani,mini VLOGO crossbody bag,"$1,200",One Size,https://cdn-images.farfetch-contents.com/15/42/97/65/15429765_29871582_480.jpg,-0%,"$1,200"
Positively Conscious,GANNI,logo-patch ribbed-knit beanie,$100,One Size,https://cdn-images.farfetch-contents.com/17/42/38/40/17423840_37153449_480.jpg,-0%,$100
New Season,Valentino Garavani,VLOGO reversible belt,$570,"XS, S, M",https://cdn-images.farfetch-contents.com/17/78/25/33/17782533_38146949_480.jpg,-0%,$570
,Ruslan Baginskiy,crystal-embellished logo baker boy cap,$240,"XS, S, M, L",https://cdn-images.farfetch-contents.com/14/71/60/09/14716009_32663110_480.jpg,-0%,$240
,Saint Laurent Eyewear,Mica rectangle sunglasses,$315,One Size,https://cdn-images.farfetch-contents.com/16/66/45/29/16664529_35961361_480.jpg,-0%,$315
,Gentle Monster,Rick oversized-frame sunglasses,$259,One Size,https://cdn-images.farfetch-contents.com/16/66/44/11/16664411_38364711_480.jpg,-0%,$259
,Perfect Moment,jacquard logo merino headband,$96,One Size,https://cdn-images.farfetch-contents.com/15/56/97/64/15569764_30131856_480.jpg,-0%,$96
New Season,Emilio Pucci,embossed logo linen visor,$480,"S, M",https://cdn-images.farfetch-contents.com/17/03/50/13/17035013_37043963_480.jpg,-0%,$480
New Season,Balmain,monogram jacquard cap,$350,One Size,https://cdn-images.farfetch-contents.com/17/23/91/72/17239172_37752731_480.jpg,-0%,$350
,Bottega Veneta Eyewear,square-frame sunglasses,$280,"XS, S",https://cdn-images.farfetch-contents.com/14/52/62/51/14526251_36532413_480.jpg,-0%,$280
